Name,Cellphone Number,Company Email,Site,Youtube Link,Territory Covered,Lines of Business,Manufacturers Represented,Address Line 1,Address Line 2,Locality,Administrative Area,Postal Code,Country,Contact name,Description,Industries Served,Type of Equipment,Sales After Service,Fax,Primary Email Contact,Primary Number Contact
"3 Pi Distribution, Inc.",(450) 465-8060,info@3pidistribution.com,http://www.3pidistribution.com,https://www.youtube.com/user/CamproDV,Canada,Packaging Equipment,"Matrix, Petek Proces, Embalage Saturn Packaging, Gespro Solutions, SimPack","277 Boulevard Churchill, Suite #201",,Greenfield Park,QC,J4V 2M8,Canada,"Clovis E Moussalli, Business Development Manger","Our ability to quickly define your needs and provide solutions that have a positive, sustainable, and profitable impact for our customers and their employees. Our cooperative approach (Win Win Philosophy) and believe that a local good network is very critical to achieve higher objectives.","Seafood;baked Goods, Snack Foods;confectionery Products, Sugar;packaging Machinery;packaging Distributor",3 Pi Is A Distributor Of Packaging Equipment.,Yes,,,
3DSTAR,+82 (3) 1797-8561,inf@3dstar.com,http://www.3dstar.com/,,South Korea,Packaging Equipment,"ZUND, Picador software","1344, Gyeongsong-do, Guangju-eup, Gwangju-do,","Gyeonggyeong-do,",Gwangju-si,Gyeonggi-do,12735,South Korea,"Kyeongwook Ha, Director of Development","""The 3dstar is the total sales outlet of the Swiss ZUND flat cutter, and currently about 500 equipments are being used in various industries. Our company consists of a systematic and continuous service network and personnel to support sales, installation, training, operation and after-sales management.","Packaging, Design, Backery, Clothing, Leather, Advertising, Construct, Cutting machine",,Yes,+82 (2) 6280-8567,sm@3dstar.com,
"A. Carnevalli & Cia., Ltda",+55 (11) 2413-3811,carnevalli@carnevalli.com,http://www.carnevalli.com,https://www.youtube.com/watch?v=ZEYDZy14NDw,Brazil,Packaging Equipment,Own Brands,"Av. Guinle, 160 - Cumbica",CEP 07221-070,Guarulhos,SP,07221-070,Brazil,"Antonio Carnevalli (Neto), Director","For more than 50 years, Carnevalli contributes to the growth of the Brazilian industry. Founded in 1962, Carnevalli is located in the city of Guarulhos, são Paulo, in a modern industrial plant of 25.000 m2 with state-of-the-art CnC machining equipment. Market leader in Brazil and Latin America, it actually exports to all continents.",Plastic,Plastic &Packaging Converter,Yes,+55 (11) 2413-3800,antonio@carnevalli.com,
A. Hatzopoulos S.A.,+30 2310 551801,info@hatzopoulos.gr,http://www.hatzopoulos.gr,https://www.youtube.com/channel/UCLYKspqFa-l9ood9edid3Lw,GreeceUnited States,Packaging Materials,"Bobst, Own brands","21, Stadiou, St.",Macedonia,Kalohori Thessaloniki,,57009,Greece,"Lefki Prountzou, Marketing & Communications Manager","Flexible Packaging converter, established in 1931 producing custom, added-value packaging for the food, beverages, cosmetics, home-& personal care, pharmaceuticals, tobacco and pet foods industries. Flexo & Rotogravure up to 10 colors, high-barrier laminates up to 4 layers, laser-scoring, easy open & reclosable functionalities, cold-seal, tactile lacquering, promotional codes printing, recto-verso printing, stand-up pouches, retortable applications.",,,Yes,+30 2310 540673,prountzou@hatzopoulos.gr,+306946283562
A/S Conserves-Teknik,+45 6535-3031,ct@conserves-teknik.dk,http://www.conserves-teknik.dk,,Denmark,Packaging Equipment,"Barosso, Fessmann, Handtmann, Inotec, International Clip, Laska,Treif, Lorenzo Barroso",Vibevej 6,,Ullerslev,,5540,Denmark,Leif Inge Neraal,We Specialize In Food Processing Machinery For The Production Of Meats.Food and food preparation,Processing Machinery & Related Supplies/service,We Specialize In Food Processing Machinery For The Production Of Meats.,Yes,,,
Abamex Ingenieria S.A De C.V.,+52 (55) 5481-1550,info@abamex.mx,http://www.abamex.mx,,Mexico,Packaging EquipmentSystems IntegratorProcessing Equipment,"Urschel Laboratories Inc., Tomra Sorting Solutions, Abco Industries Ltd., Magnuson Corp., Commercial Magnufacturing, All Fill Inc., Ferrum Ag.,",Av. Revolucion No 1579,San Angel,Ciudad de Mexico,CDMX,01000,Mexico,Gregorio Porchini,"For Vegetables And Fruits, Blanchers Rehydrators, Dicer, Slicers & Comitrol Processor, Washer-Peeler Systmes, Filling Machines, Can Seamers, Can Labelers, Sorters, Deshidrators, Driers, Converyor Systems",Food Industry,"For Vegetables And Fruits, Blanchers Rehydrators, Dicer, Slicers & Comitrol Processor, Washer-peeler Systmes, Filling Machines, Can Seamers, Can Labelers, Sorters, Deshidrators, Driers, Converyor Systems",Yes,,gpc@abamex.mx,
"Abbey Equipment Solutions, Ltd.",(800) 361-5919,info@abbeypackaging.com,http://www.abbeypackaging.com,https://www.youtube.com/channel/UCurHW_hLDb84UKBfDh1YY9A,Canada,Packaging EquipmentPackaging Materials,"Anritsu, Cassel, Cantrell, Consolidated Technologies, Effytec, Formost Fuji, GEA, GEA Lollipop, Junapck, Liftvrac, Multipond, Opem, Raytec Vision, Teledyne Taptone, Turatti, Utrasun",5030 South Service Road,,Burlington,ON,L7L 5Y7,Canada,"Robert Mcnaught, President","From our beginnings in 1990, ABBEY Packaging has helped our clientele realize their goals, increase their productivity and quality standards. ABBEY Packaging is synonymous with superior product quality, exceptional performance and highly skilled support.Whether you are preparing to invest in new equipment or technology, upgrade existing equipment or if you simply require operator and maintenance training, your success remains our only mission.","Pharmaceutical/medical, Fruit/vegetable, Fresh, Grain/mill/cereal, Packaging Machinery & Related Supplies/service","Represents Leading Manufacturers Of Combination Weighers, Vertical Ffs Machinery, Horizontal Pouch Machines, Horizontal Wrappers And Baggers, Automatic Case Formers/closer, Case Packers/loaders, Pod And Capsule Packaging And Vacuum Packaging Solutions For Coffee, X-ray Contamination Inspection, Checkweighing Solutions, Metal Detection Machines, Leak Inspection, Vacuum And Pressure Inspection Equipment.",Yes,(905) 681-3018,rmcnaught@abbeypackaging.com,
"Abco Kovex, Ltd.",+353 (1) 807-7600,sales@abcokovex.com,http://www.abcokovex.com,https://twitter.com/AbcoKovex,Ireland,Packaging EquipmentPackaging Materials,"Lantech, Cyklop, Sealed Air, Padpak, Fill´pak","Swords Business Park,","Swords Dublin K67 ,C6A0",Co. Dublin,Co. Dublin,,Ireland,"Kevin Crothers, Sales Director","A leading European importer, distributor, and manufacturer. We specialize in packaging materials and machinery in the UK and Ireland. Thus our goal is to provide complete packaging solutions. Hence we aim to reduce the packaging materials you require. Therefore you will be able to package and ship your products successfully.",,"Sells Packaging Materials And Strectch Wrapping, Case Erecting/sealing Machines, Strapping Machinery",Yes,+353 (1) 807-7650,,
"Abi System, Inc.",+905 783-5627,info@abisystem.com,http://www.abisystem.com,https://www.youtube.com/channel/UC6gA7m_aK3PZjq_y7gAQ9rw,Canada,Packaging EquipmentProcessing EquipmentAutomation Equipment & Components,"CAS, Clamark, Datamax, Dibal, , Domino, Hualian, Intermac Ishida, SATO, TSC, Xutlan, Yamato, Zebra, Easter, Print Jet,","1030 Kamato Road, Unit # 7 & 8",,Mississauga,ON,L4W 4B6,Canada,"Tariq Bilal Qureshi, Chief Executive Officer","We Provide Competitive And Qualitative Products And Services For Food Industry Packaging, Labelling And Weighing Applications.",Fresh,"Packaging Machinery & Equipment For Primary Packaging (i.e. Filling, Sealing, Etc.), Packaging Machinery & Equipment For Secondary/end Of Line (i.e Cartoning, Stretch Wrapping, Etc.), Processing Machinery & Equipment (food And/or Beverage), Processing Machinery & Equipment (pharmaceuticals, Etc.), Conveying & Material Handling Equipment, Machinery Components, Industrial Automation",Yes,,,
Accent Label Automation & Accent Packaging Equipment,+(604) 495-1997,sales@accentpack.com,https://accentpack.com/,,Canada,Packaging EquipmentSystems Integrator,"High Tek, Arti-Pac",5090 235 Street Langley,,Surrey,BC,V2Z 2P5,Canada,Juergen Flachowsky,"We not only offer quality equipment, we listen, we adapt to your needs. We offer advice, we look for the best approach to your project. We recommend the most cost effective equipment without sacrificing quality. It is our responsibility to ensure that all our customers receive every attention to detail to make the installation successful, cost-efficient and profitable.",,Packaging Machinery And Equipment--weigh FillingLiquid FillingFlow Wrapping Or Vff,Yes,,,
Acl Films Pty Ltd,+61 (3) 8787-8756,denton.brown@aclfilms.com.au,http://www.aclfilms.com.au,,Australia,Packaging Materials,"Cellophane, Natureflex, Nativia PLA, TIPA Corp, Clarifoil Cellulose Acetate biofilms,",1-5 Pelson Court,,Dandenong South,VIC,3175,Australia,"Denton Brown, Managing Director/ Owner","Despite focusing on unprinted films, we have the knowledge and the contacts to help you design the perfect packaging as a result of decades of market experience,",,"Packaging Materials (films, Foils, Adhesives, Tapes, Etc.)",Yes,+61 (3) 8768-8220,denton.brown@aclfilms.com.au,+61 (4) 1817-1703
Activiteam Aps,+45 32 53-65-11,sundby@activiteam.dk,http://www.activiteam.dk,,Denmark,Packaging Equipment,"Illig, Huber And Grimme, Welex",Sondre Tangvej 10,,Dragor,,2791,Denmark,Henrik Jensen,We are a company that sells and services machinery and equipment within the plastics industry and has been in this industry for more than 35 years.,Packaging Machinery & Related Supplies/service,"We Are A Company That Sells And Services Machinery And Equipment In The Plastics Industry And Has Been In This Industry For More Than 35 Years. We Represent Leading Manufacturers: Thermoforming - Deep-draw Packaging Machines - Skin And Blister Packaging Machines (illig, De), Sheet Extrusion Systems (welex, U.s.), 5 Axis Cnc Processing Centers (hg, De), Skin Packaging Film ( Jura Plast.de).",Yes,+45 32 53-70-22,,
"Acuraks, Inc.",+81 (3) 6658-8921,info@acuraks.com,https://acuraks.com/english/,,Japan,Packaging Equipment,"Cesco Magnetics, Cozzoli Machine Company, Taptone, Benthos, Mocon, Deitz, Mocon, Iveks, Torpac",2-4-10 Ishiwara,,Sumida-ku,Tokyo,130-0011,Japan,Shozo Emman,"For over thirty years, Acuraks Inc. has been introducing advanced western test and inspection equipment to the Japanese pharmaceutical and food industries.During this period, we are not only an import company but also provide complete after-sales support, so customers evaluate us as good as Japanese makers.","Pharmaceutical/medical, Fresh, Petroleum, Grain/mill/cereal","Various Kinds Of Filling Machines, Weight Checker, Magnet Trap, Plastic Bottle Unscrambler, Vacuum Inspectors Of Canned Food. Pharmaceutical Machinery And Equipment.",Yes,+81 (3) 6658-8923,emman@acuraks.com,
"Additional Technics Sales & Services, Inc.",+63 (2) 8354-1474,sales@add-tech.net,http://www.add-tech.net,,Philippines,Packaging EquipmentAutomation Equipment & Components,"Syntegon , Aranow, Thermolab Scientific","Entrata Tower 1, Civic Drive",Filinvest Corporate City,Alabang Muntinlupa City,Metro Manila,1781,Philippines,"Dey Dumaup, Managing Director","We want all of our customers to experience an impressive level of professionalism when working with AddTech Sales. Our services, especially as OEM representatives, exist to make your life easier and less stressful. You can trust us to help you find the best & most cost-effective solution for your processing and packaging equipment needs.",,,Yes,,dey.dumaup@add-tech.net,+63 (917) 803-3938
